gene,product,number of article
ldha,acetate,16
pta,acetate,19
adhe,acetate,12
poxb,acetate,21
ptsg,acetate,7
acka,acetate,19
pflb,acetate,7
iclr,acetate,7
phea,acetate,2
tyrr,acetate,0
pykf,acetate,5
pyka,acetate,6
laci,acetate,5
pgi,acetate,2
lacz,acetate,2
fadd,acetate,0
acka-pta,acetate,7
ppc,acetate,3
frda,acetate,6
zwf,acetate,2
pfka,acetate,2
tyra,acetate,1
yqhd,acetate,2
fade,acetate,0
tnaa,acetate,0
xyla,acetate,2
mgsa,acetate,6
meta,acetate,2
wcaj,acetate,1
arok,acetate,0
tkta,acetate,2
arog,acetate,1
arogfbr,acetate,0
ppc,acetate,2
idi,acetate,0
ppsa,acetate,0
pntab,acetate,1
dxs,acetate,0
glk,acetate,2
4cl,acetate,0
acs,acetate,1
tyra,acetate,0
zwf,acetate,4
glta,acetate,2
atob,acetate,0
galp,acetate,2
arol,acetate,1
phea,acetate,1
tyrafbr,acetate,0
alss,acetate,1
crte,acetate,0
chs,acetate,0
kivd,acetate,1
ilvc,acetate,1
arob,acetate,2
fdh,acetate,1
glms,acetate,1
yqhd,acetate,1
tal,acetate,0
acea,acetate,2
ldha,ethanol,8
pta,ethanol,4
adhe,ethanol,6
poxb,ethanol,3
ptsg,ethanol,1
acka,ethanol,4
pflb,ethanol,1
iclr,ethanol,0
phea,ethanol,0
tyrr,ethanol,0
pykf,ethanol,0
pyka,ethanol,0
laci,ethanol,0
pgi,ethanol,1
lacz,ethanol,0
fadd,ethanol,0
acka-pta,ethanol,0
ppc,ethanol,1
frda,ethanol,3
zwf,ethanol,1
pfka,ethanol,0
tyra,ethanol,0
yqhd,ethanol,2
fade,ethanol,0
tnaa,ethanol,0
xyla,ethanol,0
mgsa,ethanol,1
meta,ethanol,1
wcaj,ethanol,0
arok,ethanol,0
tkta,ethanol,1
arog,ethanol,0
arogfbr,ethanol,0
ppc,ethanol,0
idi,ethanol,0
ppsa,ethanol,0
pntab,ethanol,0
dxs,ethanol,0
glk,ethanol,0
4cl,ethanol,0
acs,ethanol,0
tyra,ethanol,0
zwf,ethanol,0
glta,ethanol,0
atob,ethanol,0
galp,ethanol,0
arol,ethanol,0
phea,ethanol,0
tyrafbr,ethanol,0
alss,ethanol,1
crte,ethanol,0
chs,ethanol,0
kivd,ethanol,2
ilvc,ethanol,1
arob,ethanol,1
fdh,ethanol,0
glms,ethanol,0
yqhd,ethanol,1
tal,ethanol,0
acea,ethanol,0
ldha,succinic acid,10
pta,succinic acid,3
adhe,succinic acid,4
poxb,succinic acid,5
ptsg,succinic acid,5
acka,succinic acid,3
pflb,succinic acid,5
iclr,succinic acid,4
phea,succinic acid,0
tyrr,succinic acid,0
pykf,succinic acid,1
pyka,succinic acid,1
laci,succinic acid,1
pgi,succinic acid,1
lacz,succinic acid,1
fadd,succinic acid,0
acka-pta,succinic acid,3
ppc,succinic acid,2
frda,succinic acid,0
zwf,succinic acid,1
pfka,succinic acid,0
tyra,succinic acid,0
yqhd,succinic acid,0
fade,succinic acid,0
tnaa,succinic acid,0
xyla,succinic acid,0
mgsa,succinic acid,0
meta,succinic acid,0
wcaj,succinic acid,0
arok,succinic acid,0
tkta,succinic acid,0
arog,succinic acid,0
arogfbr,succinic acid,0
ppc,succinic acid,3
idi,succinic acid,0
ppsa,succinic acid,0
pntab,succinic acid,1
dxs,succinic acid,0
glk,succinic acid,1
4cl,succinic acid,0
acs,succinic acid,0
tyra,succinic acid,0
zwf,succinic acid,0
glta,succinic acid,3
atob,succinic acid,0
galp,succinic acid,0
arol,succinic acid,0
phea,succinic acid,0
tyrafbr,succinic acid,0
