organisms,product,number of study
E. coli,Ethanol,67
E. coli,Lactic acid,215
E. coli,Succinic acid,68
E. coli,"2,3-butanediol",25
E. coli,Glycerol,12
E. coli,Butanol,30
E. coli,Xylitol,13
E. coli,Acetic acid,30
E. coli,Lycopene,43
E. coli,Isobutanol,32
E. coli,L-lysine,10
E. coli,Pyruvic acid,30
E. coli,3-hydroxypropionic acid,26
E. coli,Acetoin,17
E. coli,Squalene,1
E. coli,Lactate,17
E. coli,Succinate,36
E. coli,P-coumaric acid,21
E. coli,Butyric acid,10
E. coli,Hydrogen,19
E. coli,Acetone,11
E. coli,Malic acid,13
E. coli,Astaxanthin,11
E. coli,"1,3-propanediol",13
E. coli,L-tryptophan,31
E. coli,L-phenylalanine,29
E. coli,5-aminolevulinic acid,23
E. coli,Riboflavin,5
E. coli,Geraniol,10
E. coli,Itaconic acid,15
S. cerevisiae,Ethanol,203
S. cerevisiae,Lactic acid,58
S. cerevisiae,Succinic acid,15
S. cerevisiae,"2,3-butanediol",25
S. cerevisiae,Glycerol,66
S. cerevisiae,Butanol,9
S. cerevisiae,Xylitol,31
S. cerevisiae,Acetic acid,9
S. cerevisiae,Lycopene,11
S. cerevisiae,Isobutanol,19
S. cerevisiae,L-lysine,0
S. cerevisiae,Pyruvic acid,8
S. cerevisiae,3-hydroxypropionic acid,6
S. cerevisiae,Acetoin,6
S. cerevisiae,Squalene,32
S. cerevisiae,Lactate,2
S. cerevisiae,Succinate,0
S. cerevisiae,P-coumaric acid,16
S. cerevisiae,Butyric acid,1
S. cerevisiae,Hydrogen,0
S. cerevisiae,Acetone,0
S. cerevisiae,Malic acid,4
S. cerevisiae,Astaxanthin,4
S. cerevisiae,"1,3-propanediol",2
S. cerevisiae,L-tryptophan,0
S. cerevisiae,L-phenylalanine,1
S. cerevisiae,5-aminolevulinic acid,1
S. cerevisiae,Riboflavin,0
S. cerevisiae,Geraniol,16
S. cerevisiae,Itaconic acid,3
C. glutamicum,Ethanol,1
C. glutamicum,Lactic acid,17
C. glutamicum,Succinic acid,15
C. glutamicum,"2,3-butanediol",1
C. glutamicum,Glycerol,7
C. glutamicum,Butanol,0
C. glutamicum,Xylitol,2
C. glutamicum,Acetic acid,1
C. glutamicum,Lycopene,4
C. glutamicum,Isobutanol,3
C. glutamicum,L-lysine,51
C. glutamicum,Pyruvic acid,1
C. glutamicum,3-hydroxypropionic acid,1
C. glutamicum,Acetoin,0
C. glutamicum,Squalene,1
C. glutamicum,Lactate,6
C. glutamicum,Succinate,5
C. glutamicum,P-coumaric acid,1
C. glutamicum,Butyric acid,0
C. glutamicum,Hydrogen,0
C. glutamicum,Acetone,0
C. glutamicum,Malic acid,0
C. glutamicum,Astaxanthin,2
C. glutamicum,"1,3-propanediol",0
C. glutamicum,L-tryptophan,5
