year,product,num_papers
2000,Ethanol,3
2001,Ethanol,0
2002,Ethanol,3
2003,Ethanol,8
2004,Ethanol,3
2005,Ethanol,9
2006,Ethanol,6
2007,Ethanol,6
2008,Ethanol,11
2009,Ethanol,18
2010,Ethanol,23
2011,Ethanol,16
2012,Ethanol,24
2013,Ethanol,30
2014,Ethanol,30
2015,Ethanol,29
2016,Ethanol,42
2017,Ethanol,39
2018,Ethanol,30
2019,Ethanol,32
2020,Ethanol,37
2021,Ethanol,19
2022,Ethanol,25
2023,Ethanol,19
2000,Lactic acid,0
2001,Lactic acid,1
2002,Lactic acid,0
2003,Lactic acid,2
2004,Lactic acid,1
2005,Lactic acid,1
2006,Lactic acid,4
2007,Lactic acid,1
2008,Lactic acid,2
2009,Lactic acid,2
2010,Lactic acid,5
2011,Lactic acid,6
2012,Lactic acid,8
2013,Lactic acid,11
2014,Lactic acid,9
2015,Lactic acid,11
2016,Lactic acid,18
2017,Lactic acid,20
2018,Lactic acid,13
2019,Lactic acid,19
2020,Lactic acid,20
2021,Lactic acid,14
2022,Lactic acid,15
2023,Lactic acid,12
2000,Succinic acid,0
2001,Succinic acid,1
2002,Succinic acid,2
2003,Succinic acid,2
2004,Succinic acid,1
2005,Succinic acid,2
2006,Succinic acid,2
2007,Succinic acid,2
2008,Succinic acid,6
2009,Succinic acid,5
2010,Succinic acid,3
2011,Succinic acid,3
2012,Succinic acid,5
2013,Succinic acid,6
2014,Succinic acid,15
2015,Succinic acid,12
2016,Succinic acid,18
2017,Succinic acid,18
2018,Succinic acid,12
2019,Succinic acid,7
2020,Succinic acid,13
2021,Succinic acid,10
2022,Succinic acid,11
2023,Succinic acid,10
2000,"2,3-butanediol",0
2001,"2,3-butanediol",0
2002,"2,3-butanediol",0
2003,"2,3-butanediol",1
2004,"2,3-butanediol",0
2005,"2,3-butanediol",0
2006,"2,3-butanediol",0
2007,"2,3-butanediol",0
2008,"2,3-butanediol",0
2009,"2,3-butanediol",1
2010,"2,3-butanediol",2
2011,"2,3-butanediol",0
2012,"2,3-butanediol",7
2013,"2,3-butanediol",9
2014,"2,3-butanediol",9
