publisher,year,number of article
Elsevier,2000,7
Elsevier,2001,5
Elsevier,2002,10
Elsevier,2003,22
Elsevier,2004,18
Elsevier,2005,33
Elsevier,2006,36
Elsevier,2007,33
Elsevier,2008,30
Elsevier,2009,43
Elsevier,2010,40
Elsevier,2011,58
Elsevier,2012,69
Elsevier,2013,87
Elsevier,2014,109
Elsevier,2015,138
Elsevier,2016,153
Elsevier,2017,196
Elsevier,2018,141
Elsevier,2019,176
Elsevier,2020,206
Elsevier,2021,167
Elsevier,2022,168
Elsevier,2023,198
Springer Nature,2000,3
Springer Nature,2001,5
Springer Nature,2002,4
Springer Nature,2003,3
Springer Nature,2004,8
Springer Nature,2005,4
Springer Nature,2006,14
Springer Nature,2007,20
Springer Nature,2008,39
Springer Nature,2009,41
Springer Nature,2010,65
Springer Nature,2011,59
Springer Nature,2012,91
Springer Nature,2013,123
Springer Nature,2014,155
Springer Nature,2015,188
Springer Nature,2016,209
Springer Nature,2017,167
Springer Nature,2018,197
Springer Nature,2019,211
Springer Nature,2020,171
Springer Nature,2021,117
Springer Nature,2022,171
Springer Nature,2023,151
Oxford Academic,2000,0
Oxford Academic,2001,0
Oxford Academic,2002,1
Oxford Academic,2003,5
Oxford Academic,2004,2
Oxford Academic,2005,3
Oxford Academic,2006,6
Oxford Academic,2007,5
Oxford Academic,2008,5
Oxford Academic,2009,3
Oxford Academic,2010,7
Oxford Academic,2011,6
Oxford Academic,2012,9
Oxford Academic,2013,7
Oxford Academic,2014,14
Oxford Academic,2015,12
Oxford Academic,2016,13
Oxford Academic,2017,22
Oxford Academic,2018,23
Oxford Academic,2019,20
Oxford Academic,2020,15
Oxford Academic,2021,16
Oxford Academic,2022,9
Oxford Academic,2023,7
American Chemical Society,2000,0
American Chemical Society,2001,2
American Chemical Society,2002,2
American Chemical Society,2003,3
American Chemical Society,2004,1
American Chemical Society,2005,0
American Chemical Society,2006,0
American Chemical Society,2007,0
American Chemical Society,2008,0
American Chemical Society,2009,2
American Chemical Society,2010,0
American Chemical Society,2011,1
American Chemical Society,2012,4
American Chemical Society,2013,7
American Chemical Society,2014,8
American Chemical Society,2015,10
American Chemical Society,2016,22
American Chemical Society,2017,29
American Chemical Society,2018,32
American Chemical Society,2019,38
American Chemical Society,2020,66
American Chemical Society,2021,72
American Chemical Society,2022,73
American Chemical Society,2023,78
Wiley,2000,3
Wiley,2001,5
Wiley,2002,7
Wiley,2003,9
Wiley,2004,10
Wiley,2005,15
Wiley,2006,8
Wiley,2007,13
Wiley,2008,21
Wiley,2009,26
Wiley,2010,12
Wiley,2011,23
Wiley,2012,18
Wiley,2013,21
Wiley,2014,31
Wiley,2015,47
Wiley,2016,47
Wiley,2017,65
Wiley,2018,59
Wiley,2019,50
Wiley,2020,42
Wiley,2021,46
Wiley,2022,45
Wiley,2023,39
MDPI,2000,0
MDPI,2001,0
MDPI,2002,0
MDPI,2003,0
MDPI,2004,0
MDPI,2005,0
MDPI,2006,0
MDPI,2007,0
MDPI,2008,0
MDPI,2009,0
MDPI,2010,0
MDPI,2011,0
MDPI,2012,0
MDPI,2013,0
MDPI,2014,0
MDPI,2015,1
MDPI,2016,2
MDPI,2017,2
MDPI,2018,6
MDPI,2019,10
MDPI,2020,15
MDPI,2021,21
MDPI,2022,30
MDPI,2023,38
Other,2000,0
Other,2001,0
Other,2002,2
Other,2003,3
Other,2004,2
Other,2005,0
Other,2006,2
Other,2007,2
Other,2008,4
Other,2009,6
Other,2010,4
Other,2011,2
Other,2012,3
Other,2013,10
Other,2014,10
Other,2015,31
Other,2016,31
Other,2017,38
Other,2018,38
Other,2019,49
Other,2020,69
Other,2021,37
Other,2022,67
Other,2023,23
