paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,oxygen level,parent strain,knock out gene,overexpress gene,heterologous gene,check,Unnamed: 19
p1,10.1002.biot.201600457,ATCC 824,,butanol (butanol),6.1 g/L,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,,,,,gene,
p1,10.1002.biot.201600457,ATCC 824,,butanol (butanol),0.14 g/g glucose,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,,,,,gene,
p1,10.1002.biot.201600457,ATCC 824,,butanol (butanol),0.11 g/g glucose,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,,,,,gene,
p1,10.1002.biot.201600457,ATCC 824,,ethanol (ethanol),0.2 g/L,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,,,,,gene,
p1,10.1002.biot.201600457,ATCC 824,,ethanol (ethanol),0.3 g/L,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,,,,,gene,
p1,10.1002.biot.201600457,TKW-A,,butanol (butanol),5.8 g/L,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,ATCC 824,thl;thlA,thl;thlA;thlA V5A,,yes,
p1,10.1002.biot.201600457,TKW-A,,butanol (butanol),4.0 g/L,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,ATCC 824,thl;thlA,thl;thlA;thlA V5A,,gene,
p1,10.1002.biot.201600457,TKW-A,,butanol (butanol),0.13 g/g glucose,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,ATCC 824,thl;thlA,thl;thlA;thlA V5A,,yes,
p1,10.1002.biot.201600457,TKW-A,,butanol (butanol),0.07 g/g glucose,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,ATCC 824,thl;thlA,thl;thlA;thlA V5A,,gene,
p1,10.1002.biot.201600457,TKW-A,,ethanol (ethanol),5.9 g/L,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,ATCC 824,thl;thlA,thl;thlA;thlA V5A,,yes,
p1,10.1002.biot.201600457,TKW-A,,ethanol (ethanol),9.5 g/L,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,ATCC 824,thl;thlA,thl;thlA;thlA V5A,,gene,
p1,10.1002.biot.201600457,BKM19,,butanol (butanol),15.0 g/L,CGM,glucose,80 g/L,batch fermentation,5.0,,37°C,oxygen-free,,,,,gene,
