paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,check
P1,10.1002.biot.201600457,C. acetobutylicum ATCC 824,,ABE (ABE),0.14 g/g glucose,CGM,Glucose,80 g/L,Batch fermentation in a 5.0 L LiFlus GX bioreactor,Adjusted above 5.0 with 14% (v/v) ammonia solution,Not mentioned,37°C,,,thlA;thlA V5A,,no
,,,,,,,,,,,,,,,,,
P2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t,Saccharomyces cerevisiae,muconic acid (muconic acid),1.5 g/L,shake flask,glucose,4%,batch,5,168 h,30°C,MuA-5.01.1.02,,AROZpodo;ECL_01944opt;aro1t;caHQD2opt,AROZpodo (Podospora anserine);ECL_01944opt (Enterobacter cloacae);caHQD2opt (Candida albicans),yes
P2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t+scPAD1,Saccharomyces cerevisiae,muconic acid (muconic acid),12.9 mg muconic acid / g glucose,shake flask,glucose,4%,batch,5,168 h,30°C,MuA-5.01.1.02+ aro1t,,AROZpodo;ECL_01944opt;aro1t;caHQD2opt,AROZpodo (Podospora anserine);ECL_01944opt (Enterobacter cloacae);caHQD2opt (Candida albicans),yes
P2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t+scPAD1,Saccharomyces cerevisiae,muconic acid (muconic acid),2.1 g/L,bioreactor,glucose,40 g/L,fed-batch,5,10 days,30°C,MuA-5.01.1.02+ aro1t,,AROZpodo;ECL_01944opt;aro1t;caHQD2opt,AROZpodo (Podospora anserine);ECL_01944opt (Enterobacter cloacae);caHQD2opt (Candida albicans),yes
P2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t+scPAD1,Saccharomyces cerevisiae,muconic acid (muconic acid),550 mg/L,shake flask,glucose,4%,batch,5,168 h,30°C,MuA-5.01.1.02+ aro1t,,AROZpodo;ECL_01944opt;aro1t;caHQD2opt,AROZpodo (Podospora anserine);ECL_01944opt (Enterobacter cloacae);caHQD2opt (Candida albicans),yes
,,,,,,,,,,,,,,,,,
P3,10.1002.bit.20542,pta-adhE-pfk-glk,E. coli,lactic acid (lactic acid),0.87 g/L,M9 minimal medium,glucose,2 g/L,batch culture,6.5,60 days,37°C,,adhE;glk;pfk;pfkA;pta,,,yes
P3,10.1002.bit.20542,pta-pfk,E. coli,lactic acid (lactic acid),0.89 g/L,M9 minimal medium,glucose,2 g/L,batch culture,6.5,60 days,37°C,,pfk;pfkA;pta,,,yes
P3,10.1002.bit.20542,pta-adhE,E. coli,lactic acid (lactic acid),1.69 g/L,M9 minimal medium,glucose,2 g/L,batch culture,6.5,60 days,37°C,E. coli K12 MG1655,adhE;pta,,,yes
,,,,,,,,,,,,,,,,,
P4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),0.02 g L-valine per g glucose,NM1 medium,Glucose,20 g/L,Batch culture in a 6.6-L bioreactor,6,29.5 h,318C,E. coli W;WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes
P4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),0.22 g/g,NM1 medium,Glucose,20 g/L,Fed-batch culture in a 6.6-L bioreactor,6,29.5 h,318C,E. coli W;WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes
P4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),0.32 g/L,NM1 medium,Glucose,20 g/L,Batch culture in a 6.6-L bioreactor,6,29.5 h,318C,E. coli W;WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes
P4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),60.7 g/L,NM1 medium,Glucose,20 g/L,Fed-batch culture in a 6.6-L bioreactor,6,29.5 h,318C,E. coli W;WLA,ilvA;lacI,ilvBN;ilvC;livED;lrp;ygaZH,,yes
P4,10.1002.bit.23044,E. coli W,Escherichia coli,L-valine (L-valine),0.30 g/g,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,ilvA;lacI,,,no
,,,,,,,,,,,,,,,,,
P5,10.1002.bit.24547,ZD-T-024,Saccharomyces cerevisiae,miltiradiene (miltiradiene),25.7 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010,,BTS1;ERG20;SaGGPS;SmCPS;SmKSL,BTS1 (S. cerevisiae);SaGGPS (S. acidocaldarius);SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-023,Saccharomyces cerevisiae,miltiradiene (miltiradiene),28.2 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010,,BTS1;ERG20;SaGGPS;SmCPS;SmKSL,BTS1 (S. cerevisiae);SaGGPS (S. acidocaldarius);SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),4.2 mg/L,SD medium with 2% glucose,glucose,2%,shake flask,5.5,4 days,30°C,S. cerevisiae BY4742,,SmCPS;SmKSL,SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),4.4 mg/g dry cell weight,SD medium with 2% glucose,glucose,2%,shake flask,5.5,4 days,30°C,S. cerevisiae BY4742,,SmCPS;SmKSL,SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),5.6 mg/L,YPD medium,glucose,2%,shake flask,5.5,4 days,30°C,S. cerevisiae BY4742,,SmCPS;SmKSL,SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-025,Saccharomyces cerevisiae,miltiradiene (miltiradiene),41.6 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010;ZD-T-023,,BTS1;ERG20;SaGGPS;SmCPS;SmKSL;tHMGR;upc2.1,BTS1 (S. cerevisiae);SaGGPS (S. acidocaldarius);SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-028,Saccharomyces cerevisiae,miltiradiene (miltiradiene),43.2 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010;ZD-T-024,,BTS1;ERG20;SaGGPS;SmCPS;SmKSL;tHMGR;upc2.1,BTS1 (S. cerevisiae);SaGGPS (S. acidocaldarius);SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-027,Saccharomyces cerevisiae,miltiradiene (miltiradiene),43.6 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010;ZD-T-023,,BTS1;ERG20;SaGGPS;SmCPS;SmKSL;tHMGR;upc2.1,BTS1 (S. cerevisiae);SaGGPS (S. acidocaldarius);SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-026,Saccharomyces cerevisiae,miltiradiene (miltiradiene),488 mg/L,fed-batch fermentation in a 5 L fermentor with pH controlled at 5.5,glucose,not specified,fed-batch fermentation,5.5,6 days,30°C,ZD-T-010;ZD-T-023,,BTS1;ERG20;SaGGPS;SmCPS;SmKSL;tHMGR;upc2.1,BTS1 (S. cerevisiae);SaGGPS (S. acidocaldarius);SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-026,Saccharomyces cerevisiae,miltiradiene (miltiradiene),61.8 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010;ZD-T-023,,BTS1;ERG20;SaGGPS;SmCPS;SmKSL;tHMGR;upc2.1,BTS1 (S. cerevisiae);SaGGPS (S. acidocaldarius);SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-021,Saccharomyces cerevisiae,miltiradiene (miltiradiene),6.3 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010,,SmCPS;SmKSL;tHMGR;upc2.1,SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-013,Saccharomyces cerevisiae,miltiradiene (miltiradiene),6.6 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010,,BTS1;ERG20;SaGGPS;SmCPS;SmKSL,BTS1 (S. cerevisiae);SaGGPS (S. acidocaldarius);SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-022,Saccharomyces cerevisiae,miltiradiene (miltiradiene),7.2 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010,,SmCPS;SmKSL;tHMGR;upc2.1,SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-014,Saccharomyces cerevisiae,miltiradiene (miltiradiene),8.8 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010,,BTS1;ERG20;SaGGPS;SmCPS;SmKSL,BTS1 (S. cerevisiae);SaGGPS (S. acidocaldarius);SmCPS (unknown);SmKSL (unknown),yes
P5,10.1002.bit.24547,ZD-T-011,Saccharomyces cerevisiae,squalene (squalene),71 mg/L,YPD medium with 200 mg/L geneticin and 300 mg/L Hygromycin B,glucose,2%,shake flask,5.5,4 days,30°C,ZD-T-010,,SmCPS;SmKSL;tHMGR;upc2.1,SmCPS (unknown);SmKSL (unknown),yes
,,,,,,,,,,,,,,,,,
P6,10.1002.bit.26580,GL0001,,PEP (Phosphoenolpyruvate),0.11 mM,NBS mineral salt medium with 2% (wt/vol) glucose,Glucose,2% (wt/vol),Fed-batch fermentation,7,48 h,37°C,E. coli ATCC8739,ackA;adhE;ldhA;ptsI,,malate dehydrogenase (Actinobacillus succinogenes);phosphoenolpyruvate carboxykinase (Actinobacillus succinogenes),no
P6,10.1002.bit.26580,GL0002,,PEP (Phosphoenolpyruvate),0.14 mM,NBS mineral salt medium with 2% (wt/vol) glucose,Glucose,2% (wt/vol),Fed-batch fermentation,7,48 h,37°C,E. coli ATCC8739,ackA;adhE;ldhA;ptsI,,malate dehydrogenase (Actinobacillus succinogenes);phosphoenolpyruvate carboxykinase (Actinobacillus succinogenes),no
P6,10.1002.bit.26580,GL0004,,PEP (Phosphoenolpyruvate),0.68 mM,NBS mineral salt medium with 2% (wt/vol) glucose,Glucose,2% (wt/vol),Fed-batch fermentation,7,48 h,37°C,E. coli ATCC8739,ackA;adhE;ldhA;ptsI,focA;mgsA;pflB,malate dehydrogenase (Actinobacillus succinogenes);phosphoenolpyruvate carboxykinase (Actinobacillus succinogenes),no
P6,10.1002.bit.26580,GL2206,,Malate (Malate),18.8 mM,NBS mineral salt medium with 2% (wt/vol) glucose,Glucose,2% (wt/vol),Fed-batch fermentation,7,48 h,37°C,GL0004,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,Asmdh;Ecpck;focA;mdh;mgsA;pck;pflB,PelB (unknown);malate dehydrogenase (Actinobacillus succinogenes);phosphoenolpyruvate carboxykinase (Actinobacillus succinogenes),no
P6,10.1002.bit.26580,GL2306,,Malate (Malate),58.8 mM,pH-stat fed-batch cultures,Glucose,Not specified,Fed-batch fermentation,7,72 h,37°C,GL0004,ackA;adhE;focA;ldhA;mgsA;pflB;ptsI,Asmdh;Ecpck;focA;mdh;mgsA;pck;pflB,PelB (unknown);malate dehydrogenase (Actinobacillus succinogenes);phosphoenolpyruvate carboxykinase (Actinobacillus succinogenes),no
,,,,,,,,,,,,,,,,,
P7,10.1002.bit.27284,YPH499/PAT167/MVA442,Saccharomyces cerevisiae,patchoulol (patchoulol),2.05 g/g-glucose,shake flask,glucose,not specified,batch culture,not specified,120 h,30°C,YPH499/PAT167,,ERG13;ERG19;ERG20;PTS;tHMG1,,yes
P7,10.1002.bit.27284,YPH499/PAT167/MVA442,Saccharomyces cerevisiae,patchoulol (patchoulol),42.1 mg/L-culture,shake flask,glucose,not specified,batch culture,not specified,120 h,30°C,YPH499/PAT167,,ERG13;ERG19;ERG20;PTS;tHMG1,,yes
,,,,,,,,,,,,,,,,,
P8,10.1002.jctb.6787,YIP-J1A-Ald6,Saccharomyces cerevisiae,D-LA (D-Lactic acid),0.49 g g -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-J1A,ADH1;PDC1;PDC6,ACS2;ALD6,,no
P8,10.1002.jctb.6787,YIP-J1A-Ald6,Saccharomyces cerevisiae,D-LA (D-Lactic acid),59.2 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-J1A,ADH1;PDC1;PDC6,ACS2;ALD6,,no
P8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,D-LA (D-Lactic acid),0.53 g g -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-m-ald6,ADH1;ALD6;PDC1;PDC6,EUTE;MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,D-LA (D-Lactic acid),78.8 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-m-ald6,ADH1;ALD6;PDC1;PDC6,EUTE;MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,acetic acid (acetic acid),11.1 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-m-ald6,ADH1;ALD6;PDC1;PDC6,EUTE;MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-m-a6-eutE,Saccharomyces cerevisiae,ethanol (Ethanol),11.3 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-m-ald6,ADH1;ALD6;PDC1;PDC6,EUTE;MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-I-J-C-D-A1,Saccharomyces cerevisiae,D-LA (D-Lactic acid),0.55 g g -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,,ADH1;PDC1;PDC6,,,no
P8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic acid),0.70 g g -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-mhpF,ADH1;ALD6;PDC1;PDC6,MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic acid),0.77 g g -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-mhpF,ADH1;ALD6;PDC1;PDC6,MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic acid),15.50 ± 0.10 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-mhpF,ADH1;ALD6;PDC1;PDC6,MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic acid),86.9 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-mhpF,ADH1;ALD6;PDC1;PDC6,MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-m-ald6,Saccharomyces cerevisiae,D-LA (D-Lactic acid),92.6 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-mhpF,ADH1;ALD6;PDC1;PDC6,MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-e-ald6-A4,Saccharomyces cerevisiae,D-LA (D-Lactic acid),0.76 ± 0.00 g g -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-e-ald6,ADH1;ADH2;ADH4;ALD6;PDC1;PDC6,,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-e-ald6-A42,Saccharomyces cerevisiae,D-LA (D-Lactic acid),28.5 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-e-ald6,ADH1;ADH2;ADH4;ALD6;PDC1;PDC6,,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-mhpF,Saccharomyces cerevisiae,D-LA (D-Lactic acid),3.2 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-A15G12,ADH1;PDC1;PDC6,MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-mhpF,Saccharomyces cerevisiae,ethanol (Ethanol),13.15 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-A15G12,ADH1;PDC1;PDC6,MHPF,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-eutE,Saccharomyces cerevisiae,D-LA (D-Lactic acid),4.8 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-A15G12,ADH1;PDC1;PDC6,,EUTE (Escherichia coli),no
P8,10.1002.jctb.6787,YIP-eutE,Saccharomyces cerevisiae,ethanol (Ethanol),53.9 g L -1,Synthetic complete medium,Glucose,20 g L -1,Fed-batch fermentation,4.7 (initially),58.5 h,30 °C,YIP-A15G12,ADH1;PDC1;PDC6,,EUTE (Escherichia coli),no
