paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,oxygen level,parent strain,time,temperature,knock out gene,overexpress gene,heterologous gene,check
p1,10.1002.biot.201600457,TKW-A,,ethanol (ethanol),9.5 g/L,Not Applicable*,-,-,-,-,-,C. acetobutylicum ATCC 824,-,-,thl;thlA,thl;thlA;thlA V5A;thlA WT,,gene WT
p1,10.1002.biot.201600457,ATCC 824,,acetic acid (acetic acid),5.4 g/L,CGM,glucose,80 g/L,batch,>5.0,anaerobic,,,37°C,,thl;thlA;thlA WT,,yes
p1,10.1002.biot.201600457,ATCC 824,,butyric acid (butyric acid),7.0 g/L,CGM,glucose,80 g/L,batch,>5.0,anaerobic,,,37°C,,thl;thlA;thlA WT,,yes
p1,10.1002.biot.201600457,BKM19,,ethanol (ethanol),0.2 g/L,CGM,glucose,80 g/L,batch,>5.0,anaerobic,PJC4BK,,37°C,,,,gene
p1,10.1002.biot.201600457,TKW-A,,ethanol (ethanol),5.9 g/L,CGM,glucose,80 g/L,batch,>5.0,anaerobic,C. acetobutylicum ATCC 824,,37°C,thl;thlA,thl;thlA;thlA V5A;thlA WT,,gene
p1,10.1002.biot.201600457,ATCC 824,,n-butanol (n-butanol),6.1 g/L (yield 0.14 g/g),CGM,glucose,80 g/L,batch,>5.0,anaerobic,,,37°C,,thl;thlA;thlA WT,,gene
p1,10.1002.biot.201600457,BKM19,,n-butanol (n-butanol),13.5 g/L (yield 0.18 g/g),CGM,glucose,80 g/L,batch,>5.0,anaerobic,PJC4BK,,37°C,,,,OE
p1,10.1002.biot.201600457,BKM19,,n-butanol (n-butanol),15.0 g/L (yield 0.20 g/g),CGM,glucose,80 g/L,batch,>5.0,anaerobic,PJC4BK,,37°C,,,,OE
p1,10.1002.biot.201600457,TKW-A,,n-butanol (n-butanol),5.8 g/L (yield 0.13 g/g),CGM,glucose,80 g/L,batch,>5.0,anaerobic,C. acetobutylicum ATCC 824,,37°C,thl;thlA,thl;thlA;thlA V5A;thlA WT,,OE
,,,,,,,,,,,,,,,,,,
p2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t+scPAD1,Saccharomyces cerevisiae,"muconic acid (cis,cis-muconic acid)",2.1 g/L,Bioreactor,Glucose,40 g/L***,Fed-batch with media spikes,5.0,>20%****,MuA-5.01.1.02,10 days,30°C,,aro1t,ECL_01944opt,yes
p2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t+scPAD1,Saccharomyces cerevisiae,"muconic acid (cis,cis-muconic acid)",12.9 mg muconic acid / g glucose,Shake flask,Glucose,Not specified,Batch,,Ambient**,MuA-5.01.1.02,,Room temp*,,aro1t,ECL_01944opt,yes
p2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t,Saccharomyces cerevisiae,"muconic acid (cis,cis-muconic acid)",550 mg/L,Shake flask,Glucose,Not specified,Batch,,Ambient**,MuA-5.01.1.02,,Room temp*,,aro1t,ECL_01944opt,yes
,,,,,,,,,,,,,,,,,,
p3,10.1002.bit.20542,pta-pfk,E. coli,formate (formate),0.89 g/L,M9 minimal,glucose,2 g/L,batch,,anaerobic,E. coli K12 MG1655,60 days,37°C,pfk;pta,,,yes
p3,10.1002.bit.20542,pta-adhE-pfk-glk,E. coli,lactate (lactic acid),0.87 g/L,M9 minimal,glucose,2 g/L,batch,,anaerobic,E. coli K12 MG1655,60 days,37°C,adhE;glk;pfk;pta,,,yes
p3,10.1002.bit.20542,pta-adhE,E. coli,lactate (lactic acid),1.69 g/L,M9 minimal,glucose,2 g/L,batch,,anaerobic,E. coli K12 MG1655,60 days,37°C,adhE;pta,,,yes
,,,,,,,,,,,,,,,,,,
p4,10.1002.bit.23044,E. coli W,Escherichia coli,L-valine (L-valine),0.30 g/g,Not specified,Not specified,Not specified,Not specified,-,-,,-,-,ilvA;lacI,,,OE
p4,10.1002.bit.23044,WLA,Escherichia coli,L-valine (L-valine),0.02 g L-valine per g glucose,NM1,Glucose,20 g/L,Batch,6.0,>40%,E. coli W,-,318C,ilvA;lacI,,,OE
p4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),0.22 g/g,NM1,Glucose,Fed with 400 g/L glucose,Fed-batch,6.0,>40%,WLA,29.5 h,318C,ilvA;lacI,ilvBN;lrp;ygaZH,,yes
p4,10.1002.bit.23044,WLA,Escherichia coli,L-valine (L-valine),0.32 g/L,NM1,Glucose,20 g/L,Batch,6.0,>40%,E. coli W,-,318C,ilvA;lacI,,,OE
p4,10.1002.bit.23044,"WLA (pKBRilvBN mut CED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),60.7 g/L,NM1,Glucose,Fed with 400 g/L glucose,Fed-batch,6.0,>40%,WLA,29.5 h,318C,ilvA;lacI,ilvBN;lrp;ygaZH,,yes
,,,,,,,,,,,,,,,,,,
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),0.7 mg/g,YPD,Glucose,,Shake flask,5.5,Aerobic,S. cerevisiae BY4742,4 days,30°C,,SmCPS;SmKSL,SmCPS;SmKSL,yes
