paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,check
p1,10.1002.biot.201600457,BKM19,,Butanol (Butanol),15.0 g/L,CGM,Glucose,80 g/L,Batch,≥5,Not specified,37°C,PJC4BK,Not mentioned,thlA V5A,None mentioned,yes
p1,10.1002.biot.201600457,ATCC 824 (thlA V5A overexpression),,Butanol (Butanol),6.1 g/L,CGM,Glucose,80 g/L,Batch,≥5,Not specified,37°C,ATCC 824,Not mentioned,thlA V5A,None mentioned,yes
p1,10.1002.biot.201600457,TKW-A (thlA V5A overexpression),,Butanol (Butanol),5.8 g/L,CGM,Glucose,80 g/L,Batch,≥5,Not specified,37°C,ATCC 824 (thlA-knockdown),thlA,thlA V5A,None mentioned,yes
,,,,,,,,,,,,,,,,,
p2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t,Saccharomyces cerevisiae,muconic acid (muconic acid),1.5 g/L,not specified,glucose,not specified,shake flask,not specified,not specified,30°C,MuA-5.01.1.02,aro1 (truncated),aroE,"ECL_01944opt, caHQD2opt, AROZpodo",product
p2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t+scPAD1,Saccharomyces cerevisiae,muconic acid (muconic acid),>550 mg/L,not specified,glucose,not specified,shake flask,not specified,not specified,30°C,MuA-5.01.1.02,aro1 (truncated),scPAD1,"ECL_01944opt, caHQD2opt, AROZpodo",yes
p2,10.1002.biot.201600687,MuA-5.01.1.02+ aro1t+scPAD1,Saccharomyces cerevisiae,muconic acid (muconic acid),2.1 g/L,not specified,glucose,not specified,bioreactor (fed-batch),5.0,10 days,30°C,MuA-5.01.1.02,aro1 (truncated),scPAD1,"ECL_01944opt, caHQD2opt, AROZpodo",yes
,,,,,,,,,,,,,,,,,
p3,10.1002.bit.20542,pta-adhE double deletion strain,E. coli,lactate (lactic acid),1.69 g/L,M9 minimal,glucose,2 g/L,batch,,60 days,37°C,E. coli K12 MG1655,"pta, adhE",-,-,yes
p3,10.1002.bit.20542,pta-pfk double deletion strain,E. coli,lactate (lactic acid),0.89 g/L,M9 minimal,glucose,2 g/L,batch,,60 days,37°C,E. coli K12 MG1655,"pta, pfkA",-,-,yes
p3,10.1002.bit.20542,pta-adhE-pfk-glk quadruple deletion strain,E. coli,lactate (lactic acid),0.87 g/L,M9 minimal,glucose,2 g/L,batch,,60 days,37°C,E. coli K12 MG1655,"pta, adhE, pfkA, glk",-,-,yes
,,,,,,,,,,,,,,,,,
p4,10.1002.bit.23044,E. coli W (DlacI DilvA),Escherichia coli,L-valine (L-valine),60.7 g/L,NM1,glucose,20 g/L,"6.6-L bioreactor, fed-batch",6.0,29.5 h,318C,E. coli W,"lacI, ilvA","ilvBN mut, ilvCED, ygaZH, lrp",,yes
,,,,,,,,,,,,,,,,,
p5,10.1002.bit.24547,ZD-T-010,Saccharomyces cerevisiae,miltiradiene (miltiradiene),4.2 mg/L,SD,glucose,2%,shake flask,-,4 days,30°C,BY4742,-,"SmCPS, SmKSL",-,yes
p5,10.1002.bit.24547,ZD-T-026 (Fed-batch),Saccharomyces cerevisiae,miltiradiene (miltiradiene),488 mg/L,YPD,glucose,200 g/L (feed),"5 L fermentor, fed-batch",5.5,6 days,30°C,ZD-T-010,-,"tHMGR, upc2.1, ERG20-BTS1, SaGGPS",SaGGPS,yes
,,,,,,,,,,,,,,,,,
p6,10.1002.bit.26580,GL0006,,malate (malate),-,NBS mineral salt medium,glucose,2% (wt/vol),"5-L bioreactor, fed-batch",7.0,72 h,37°C,E. coli ATCC8739,"adhE, ackA, ldhA, ptsI, pflB, focA, mgsA",-,"Ecpck, Asmdh",he
,,,,,,,,,,,,,,,,,
p7,10.1002.bit.27284,YPH499/PAT167/MVA442,Saccharomyces cerevisiae,patchoulol (patchoulol),42.1 mg/L,YPD,glucose,20 g/L,"Shake flask, batch",Not specified,120 h,30°C,YPH499,None mentioned,"Multiple genes in mevalonate pathway (e.g., ERG20, tHMG1, ERG13, ERG19)",PTS from P. cablin,yes
,,,,,,,,,,,,,,,,,
p8,10.1002.jctb.6787,YIP-m-ald6 (CGMCC2.5826),Saccharomyces cerevisiae,D-Lactic acid (D-LA) (D-Lactic acid),86.9 g L^-1,Synthetic complete medium,Glucose,20 g L^-1,"5 L jar fermenter, fed-batch",3.58,49 h,30 °C,YIP-A15G12,ALD6,,E. coli acetylating acetaldehyde dehydrogenase (A-ALD) MHPF,yes
,,,,,,,,,,,,,,,,,
p9,10.1007.s00253-003-1470-9,E. coli pET24Lmdh,Escherichia coli,D-mannitol (D-mannitol),,LB,D-fructose,500 mM,Batch,6.5,,30°C,E. coli BL21 Star (DE3),,mdh,mdh (Leuconostoc pseudomesenteroides),yes
p9,10.1007.s00253-003-1470-9,E. coli pET24[fdhmdh],Escherichia coli,D-mannitol (D-mannitol),15-20 mM,LB,D-fructose,500 mM,Batch,6.5,,30°C,E. coli BL21 Star (DE3),,"fdh, mdh","fdh (Mycobacterium vaccae N10), mdh (L. pseudomesenteroides)",yes
p9,10.1007.s00253-003-1470-9,E. coli pET24[fdhmdh] pZY507glf,Escherichia coli,D-mannitol (D-mannitol),216 mM,LB,D-fructose,500 mM,Batch,6.5,17 h,30°C,E. coli BL21 Star (DE3),,"fdh, mdh, glf","fdh (M. vaccae N10), mdh (L. pseudomesenteroides), glf (Zymomonas mobilis)",yes
p9,10.1007.s00253-003-1470-9,E. coli pET24[fdhmdh] pZY507glf,Escherichia coli,D-mannitol (D-mannitol),362 mM,LB,D-fructose,433 mM,Batch with pH control,6.5,8 h,30°C,E. coli BL21 Star (DE3),,"fdh, mdh, glf","fdh (M. vaccae N10), mdh (L. pseudomesenteroides), glf (Z. mobilis)",yes
,,,,,,,,,,,,,,,,,
p10,10.1007.s00253-009-1900-4,X_REF,Saccharomyces cerevisiae,ethanol (ethanol),Not specified,SD-HIS-LEU,glucose,20 g/L,Batch,5.0,24-48 h,30°C,CEN.PK113-11C,,,"XR, XDH, XK",titer
p10,10.1007.s00253-009-1900-4,cNDK,Saccharomyces cerevisiae,ethanol (ethanol),Not specified,SD-HIS-LEU,glucose,20 g/L,Batch,5.0,24-48 h,30°C,CEN.PK113-11C,,POS5 (cytosolic),"XR, XDH, XK",titer
p10,10.1007.s00253-009-1900-4,mNDK,Saccharomyces cerevisiae,xylitol (xylitol),Not specified,SD-HIS-LEU,xylose,50 g/L (mixed with 20 g/L glucose),Batch,5.0,24-72 h,30°C,CEN.PK113-11C,,POS5-17Δp (mitochondrial),"XR, XDH, XK",titer
,,,,,,,,,,,,,,,,,
p11,10.1007.s00253-009-2244-9,B. subtilis 168 (wild type),Bacillus subtilis,GFP+ (Green fluorescent protein),-,minimal medium,glucose,5 g/L,"shake flask, batch",-,-,37°C,B. subtilis 168,-,-,gfp+,titer
p11,10.1007.s00253-009-2244-9,B. subtilis iPYK mutant,Bacillus subtilis,GFP+ (Green fluorescent protein),3-fold higher than wild type,minimal medium,glucose,5 g/L,"shake flask, batch",-,-,37°C,B. subtilis 168,pyk,-,gfp+,yes
,,,,,,,,,,,,,,,,,
p12,10.1007.s00253-011-3196-4,S. cerevisiae YPH499,Saccharomyces cerevisiae,glutathione (GSH) (glutathione),1.06 mM (total),"SD medium, YPD for growth",glucose,"20 g/l in SD, 20 g/l in YPD",shake flask,not specified,24 h,"37 °C for reaction, 30 °C for growth",S. cerevisiae YPH499,"CIS2, GLC3","GCS, GS",-,KO
,,,,,,,,,,,,,,,,,
