paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,parent strain_x,knock out gene_x,overexpress gene_x,heterologous gene_x,parent strain_y,knock out gene_y,overexpress gene_y,heterologous gene_y,knockout gene
,,,,,,,,,,,,,,,,,,,,,,,,,
p0,10.1016.j.ymben.2015.07.006,adh1-5Δgpd1Δgpd2Δ [SDBN],Saccharomyces cerevisiae,"2,3-butanediol (2,3-Butanediol)",72.9 g/L,YPD10,glucose,100 g/L,"250mL flask, fed-batch",not specified,51 h,30°C,CEN.PK2-1C,"adh1, adh2, adh3, adh4, adh5, gpd1, gpd2","alsS, alsD, BDH1, NoxE","alsS, alsD, noxE",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p1,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAispS,Escherichia coli,isoprene (isoprene),94 mg/L,M9 media,glucose,20 g/L,"5-L fermentor, fed-batch",7.0,49 h,37°C,,,,,E. coli K12,,ispS,,E. coli BL21 (DE3),,ispS,,
p1,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxs/ispS,Escherichia coli,isoprene (isoprene),145 mg/L,M9 media,glucose,20 g/L,"5-L fermentor, fed-batch",7.0,49 h,37°C,,,,,E. coli K12,,"dxs, ispS",,E. coli BL21 (DE3),,dxs;ispS,,
p1,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxr/ispS,Escherichia coli,isoprene (isoprene),107 mg/L,M9 media,glucose,20 g/L,"5-L fermentor, fed-batch",7.0,49 h,37°C,,,,,E. coli K12,,"dxr, ispS",,E. coli BL21 (DE3),,dxr;ispS,,
p1,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxs2/dxr2/ispS,Escherichia coli,isoprene (isoprene),314 mg/L,M9 media,glucose,20 g/L,"5-L fermentor, fed-batch",7.0,49 h,37°C,,,,,E. coli K12,,"dxs (B. subtilis), dxr (B. subtilis), ispS","dxs (B. subtilis), dxr (B. subtilis)",E. coli BL21 (DE3),,dxr;dxs;ispS,dxr (Bacillus subtilis);dxs (Bacillus subtilis),
,,,,,,,,,,,,,,,,,,,,,,,,,
p2,10.1007.s00253-011-3725-1,YW22(pTrcHis2B-TXS-GGPPS),Escherichia coli,"taxadiene (taxa-4,11-diene)",1.53×10⁻⁴ mmol/g DCW/h (specific production rate),"complex medium (5 g/L yeast extract, 10 g/L tryptone, 10 g/L NaCl, 15 g/L glycerol, 3 mL/L Antifoam B, 100 mM HEPES)",glycerol,15 g/L,16×100 mm culture tubes,7.60,120 h,22 °C,,,,,JM109(DE3) derivative,,"dxs, idi, ispDF (chromosomal), txs, ggpps (plasmid)","txs, ggpps",YW22,,GGPPS;TXS,"GGPPS (Not explicitly stated);TXS (The text does not specify the exact microorganism from which the TXS gene is derived. However, TXS (taxadiene synthase) is related to the production of taxadiene, a precursor to taxol, which is naturally produced by Taxus species. Since the study involves introducing this gene into E. coli, TXS is likely derived from a plant source, specifically the yew tree (Taxus spp.).)",
,,,,,,,,,,,,,,,,,,,,,,,,,
