paper number,paper_number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
,,,,,,,,,,,,,,,,,
P2,P474,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAispS,Escherichia coli,Isoprene (Isoprene),94 mg/L,M9 media with glucose,Glucose,20 g/L,Fed-batch fermentation in a 5-L fermentor,7.0,34 h,37°C,E. coli BL21 (DE3),,dxr;dxs;ispS,ispS (P. nigra)
P2,P474,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxs/ispS,Escherichia coli,Isoprene (Isoprene),145 mg/L,M9 media with glucose,Glucose,20 g/L,Fed-batch fermentation in a 5-L fermentor,7.0,34 h,37°C,E. coli BL21 (DE3),,dxr;dxs;ispS,ispS (P. nigra)
P2,P474,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxr/ispS,Escherichia coli,Isoprene (Isoprene),107 mg/L,M9 media with glucose,Glucose,20 g/L,Fed-batch fermentation in a 5-L fermentor,7.0,34 h,37°C,E. coli BL21 (DE3),,dxr;dxs;ispS,ispS (P. nigra)
P2,P474,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxs/dxr/ispS,Escherichia coli,Isoprene (Isoprene),Not specified,M9 media with glucose,Glucose,20 g/L,Fed-batch fermentation in a 5-L fermentor,7.0,34 h,37°C,E. coli BL21 (DE3),,dxr;dxs;ispS,ispS (P. nigra)
P2,P474,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxs2/dxr2/ispS,Escherichia coli,Isoprene (Isoprene),314 mg/L,M9 media with glucose,Glucose,20 g/L,Fed-batch fermentation in a 5-L fermentor,7.0,34 h,37°C,E. coli BL21 (DE3),,dxr;dxs;ispS,dxr (Bacillus subtilis);dxs (Bacillus subtilis);ispS (P. nigra)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P16,P2187,10.1016.j.ymben.2012.08.003,SA01,Escherichia coli,mcl-PHA (medium-chain-length polyhydroxyalkanoate),17.3% CDW,MOPS minimal media,glucose,1% (w/v),"stirred bioreactor, batch mode",7.00±0.05,96h,37°C,E. coli K-12 MG1655 ΔaraBAD;E. coli K-12 MG1655 ΔaraBAD ΔfadR ΔfadIJ,fadI;fadJ;fadR,BTE,phaC;phaJ
P16,P2187,10.1016.j.ymben.2012.08.003,SA01,Escherichia coli,mcl-PHA (medium-chain-length polyhydroxyalkanoate),9.8% CDW,MOPS minimal media,glucose,1% (w/v),shake flask,7.00±0.05,96h,37°C,E. coli K-12 MG1655 ΔaraBAD;E. coli K-12 MG1655 ΔaraBAD ΔfadR ΔfadIJ,fadI;fadJ;fadR,BTE,phaC;phaJ
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P23,P3215,10.1038.ncomms1494,E. coli,Escherichia coli,AgBIS (Abies grandis (E)-α-bisabolene synthase),389±49 mg l^-1,EZ-rich defined,1% glucose,,Shake flask,,73 h,30 °C,,,,
P23,P3215,10.1038.ncomms1494,E. coli,Escherichia coli,bisabolane (bisabolane),0.01 g g^-1 of glucose,Minimal medium,2% glucose,,Shake flask,,72 h,30 °C,,,,
P23,P3215,10.1038.ncomms1494,Arabidopsis thaliana (Z)-γ-bisabolene synthases TPS13,Escherichia coli,bisabolane (bisabolane),35±13 mg l^-1,EZ-rich defined,1% glucose,,Shake flask,,73 h,30 °C,,,,
P23,P3215,10.1038.ncomms1494,Abies grandis (E)-α-bisabolene synthase Ag1,Escherichia coli,bisabolane (bisabolane),78±14 mg l^-1,EZ-rich defined,1% glucose,,Shake flask,,73 h,30 °C,,,,
P23,P3215,10.1038.ncomms1494,E. coli,Escherichia coli,bisabolane (bisabolane),~208 mg l^-1 after 72 h with 2% glucose,Minimal medium,2% glucose,,Shake flask,,72 h,30 °C,,,,
P23,P3215,10.1038.ncomms1494,Arabidopsis thaliana (Z)-γ-bisabolene synthases TPS13,Escherichia coli,bisabolene (bisabolene),35±13 mg l^-1,EZ-rich defined,1% glucose,,Shake flask,,73 h,30 °C,,,,
P23,P3215,10.1038.ncomms1494,Pseudotsuga menziesii (E)-γ-bisabolene synthase TPS3,Escherichia coli,bisabolene (bisabolene),4±2 mg l^-1,EZ-rich defined,1% glucose,,Shake flask,,73 h,30 °C,,,,
P23,P3215,10.1038.ncomms1494,Abies grandis (E)-α-bisabolene synthase Ag1,Escherichia coli,bisabolene (bisabolene),78±14 mg l^-1,EZ-rich defined,1% glucose,,Shake flask,,73 h,30 °C,,,,
P23,P3215,10.1038.ncomms1494,Arabidopsis thaliana (Z)-γ-bisabolene synthases TPS13,Escherichia coli,bisabolene (α-bisabolene) (bisabolene),35±13 mg l⁻1,EZ-rich defined,1% glucose,,Shake flask,,73 h,30 °C,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P25,P2112,10.1016.j.ymben.2009.07.003,BLDpgiDpldADppc,Escherichia coli,(+)-catechin ((+)-catechin),38.8 mg/L,Modified M9,D-glucose,55.5 mM,"Flask, batch",6.8,48 h,30°C,BL21 Star TM (DE3),Dpgi;DpldA;Dppc;pgi;pldA;ppc,DFR;LAR,DFR (Anthurium andraeanum);LAR (Desmodium uncinatum)
P25,P2112,10.1016.j.ymben.2009.07.003,BLDpgiDpldADppc,Escherichia coli,leucocyanidin (leucocyanidin),817 mg/L,Modified M9,D-glucose,55.5 mM,"Flask, batch",6.8,15 h,30°C,BL21 Star TM (DE3),Dpgi;DpldA;Dppc;pgi;pldA;ppc,DFR;LAR,DFR (Anthurium andraeanum);LAR (Desmodium uncinatum)
P25,P2112,10.1016.j.ymben.2009.07.003,BLDpgiDpldA,Escherichia coli,leucocyanidin (leucocyanidin),513 mg/L,Modified M9,D-glucose,55.5 mM,"Flask, batch",6.8,15 h,30°C,BL21 Star TM (DE3),Dpgi;DpldA;pgi;pldA,,
P25,P2112,10.1016.j.ymben.2009.07.003,BLDpgi,Escherichia coli,leucocyanidin (leucocyanidin),756 mg/L,Modified M9,D-glucose,55.5 mM,"Flask, batch",6.8,15 h,30°C,BL21 Star TM (DE3),Dpgi;pgi,DFR;LAR,DFR (Anthurium andraeanum);LAR (Desmodium uncinatum)
P25,P2112,10.1016.j.ymben.2009.07.003,BLDpgiDppc,Escherichia coli,leucocyanidin (leucocyanidin),779 mg/L,Modified M9,D-glucose,55.5 mM,"Flask, batch",6.8,15 h,30°C,BL21 Star TM (DE3),Dpgi;Dppc;pgi;ppc,DFR;LAR,DFR (Anthurium andraeanum);LAR (Desmodium uncinatum)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P31,P3649,10.1186.1475-2859-9-21,PB12.SA11,Escherichia coli,GA (Galactaric acid),approximately 0.3 g/L,mineral broth supplemented with 25 g/L of glucose and 15 g/L of yeast extract,glucose,25 g/L,"1 L fermentors, batch cultures",7.0,50 h,37°C,PB12,aroL,aroB;aroGfbr;tktA,
P31,P3649,10.1186.1475-2859-9-21,PB12.SA11,Escherichia coli,SA (Shikimic acid),0.11 mol SA/mol,mineral broth supplemented with 25 g/L of glucose and 15 g/L of yeast extract,glucose,25 g/L,"1 L fermentors, batch cultures",7.0,50 h,37°C,PB12,aroL,aroB;aroGfbr;tktA,
P31,P3649,10.1186.1475-2859-9-21,PB12.SA21,Escherichia coli,SA (Shikimic acid),0.21 mol/mol,mineral broth supplemented with 25 g/L of glucose and 15 g/L of yeast extract,glucose,25 g/L,"1 L fermentors, batch cultures",7.0,50 h,37°C,PB12,aroK;aroL,aroB;aroGfbr;tktA,
P31,P3649,10.1186.1475-2859-9-21,PB12.SA22,Escherichia coli,SA (Shikimic acid),0.29 mol SA/mol,mineral broth supplemented with 25 g/L of glucose and 15 g/L of yeast extract,glucose,25 g/L,"1 L fermentors, batch cultures",7.0,50 h,37°C,PB12;PB12.SA2,aroK;aroL,aroB;aroE;aroGfbr;tktA,aroGfbr (E. coli);tktA (E. coli JM101)
P31,P3649,10.1186.1475-2859-9-21,PB12,Escherichia coli,SA (Shikimic acid),2.8 g/L,mineral broth supplemented with 25 g/L of glucose and 15 g/L of yeast extract,glucose,25 g/L,"1 L fermentors, batch cultures",7.0,50 h,37°C,JM101,,aroB;aroGfbr;tktA,
,,,,,,,,,,,,,,,,,
P32,P2202,10.1016.j.ymben.2012.11.009,Strain 1,Escherichia coli,(2S)-pinocembrin ((2S)-pinocembrin),0.71 mg/L,MOPS,Glucose,Not specified,Shaking flask,Not specified,36 h,30°C,,,,
P32,P2202,10.1016.j.ymben.2012.11.009,Strain 4,Escherichia coli,(2S)-pinocembrin ((2S)-pinocembrin),1.22 mg/L,MOPS,Glucose,Not specified,Shaking flask,Not specified,48 h,30°C,,,,
P32,P2202,10.1016.j.ymben.2012.11.009,Strain 1,Escherichia coli,(2S)-pinocembrin ((2S)-pinocembrin),3.12 mg/L,MOPS,Glucose,Not specified,Shaking flask,Not specified,48 h,30°C,,,,
P32,P2202,10.1016.j.ymben.2012.11.009,Strain 4,Escherichia coli,(2S)-pinocembrin ((2S)-pinocembrin),40.02 mg/L,MOPS,Glucose,Not specified,Shaking flask,Not specified,48 h,30°C,,,,
,,,,,,,,,,,,,,,,,
P33,P2096,10.1016.j.ymben.2008.08.001,JCL 16,Escherichia coli,1-butanol (1-butanol),0.6 g/L,M9 medium containing 30 g/L glucose and 5 g/L yeast extract,Glucose,30 g/L,"250 ml conical flask, rotary shaker (240 rpm)",6.0,3-4 days,30°C,E. coli BW25113 WT,,ADH2;BC;ilvA;kivd;leuABCD,
P33,P2096,10.1016.j.ymben.2008.08.001,JCL 16,Escherichia coli,1-butanol (1-butanol),2 g/L,M9 medium containing 30 g/L glucose and 5 g/L yeast extract with 8 g/L threonine added at induction,Glucose,30 g/L,"250 ml conical flask, rotary shaker (240 rpm)",6.0,3-4 days,30°C,E. coli BW25113 WT,,ADH2;BC;ilvA;kivd;leuABCD,
P33,P2096,10.1016.j.ymben.2008.08.001,JCL 16,Escherichia coli,1-propanol (1-propanol),2 g/L,M9 medium containing 30 g/L glucose and 5 g/L yeast extract with 8 g/L threonine added at induction,Glucose,30 g/L,"250 ml conical flask, rotary shaker (240 rpm)",6.0,3-4 days,30°C,E. coli BW25113 WT,,ADH2;BC;ilvA;kivd;leuABCD,
P33,P2096,10.1016.j.ymben.2008.08.001,JCL 16,Escherichia coli,1-propanol (1-propanol),about 60 mg/L,M9 medium containing 30 g/L glucose and 5 g/L yeast extract,Glucose,30 g/L,"250 ml conical flask, rotary shaker (240 rpm)",6.0,3-4 days,30°C,E. coli BW25113 WT,,ADH2;BC;ilvA;kivd;leuABCD,
P33,P2096,10.1016.j.ymben.2008.08.001,JCL 16,Escherichia coli,ethanol (ethanol),0.25 g/L,M9 medium containing 30 g/L glucose and 5 g/L yeast extract,Glucose,30 g/L,"250 ml conical flask, rotary shaker (240 rpm)",6.0,3-4 days,30°C,E. coli BW25113 WT,,ADH2;BC;ilvA;kivd;leuABCD,
