doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1016.j.ymben.2015.07.006,"['2,3-butanediol', '2,3-butanediol (2,3-butanediol)', 'ethanol', 'ethanol (ethanol)', 'glycerol', 'glycerol (glycerol)']","['22.0 g/L', '72.9 g/L', '6.0 g/L', '3.4 g/L', '10.5 g/L', '0.07 g/L', '0.13 g/L', '0.41 g/g', '<0.4 g/L', '7.8 g/L', '8.6 g/L', '18.5 g/L', '13.3 g/L', '12.3 g/L', '6.6 g/L', '0.37 g/g', '11.3 g/L']","['SC-His', 'YPD10']",['glucose'],[''],['30°C'],"['', 'High aeration']","['', 'Conical tube', 'Flask fed-batch']","['ADH', 'ADH1', 'ADH2', 'ADH3', 'ADH4', 'ADH5', 'BDH1', 'CYC1', 'GPD1', 'GPD2', 'PDC', 'PFBA1', 'PTPI1', 'TDH3', 'TFBA1', 'TGPM1', 'TPYK1', 'TTPI1', 'adh1', 'alsD', 'alsS', 'gpd1', 'gpd2', 'nox', 'noxE']"
10.1007.s00253-011-3199-1,"['isoprene', 'isoprene (isoprene)']","['314 mg/L', '145 mg/L', '9 mg/L', '107 mg/L', '94 mg/L']",['M9'],['glucose'],['7.0'],['37°C'],['1.3 VVM'],"['5-L fermentor, fed-batch']","['dxr', 'dxs', 'ispS']"
10.1007.s00253-011-3725-1,"['taxadiene', 'taxadiene (taxadiene)']","['5.42 mg/g DCW', '7.23 mg/g DCW', '5.66 mg/g DCW']",['LB medium'],['Glycerol'],['7.60'],['22 °C'],['Not specified'],"['Culture tubes with pre-culture, 100 rpm agitation']","['GGPPS', 'TXS', 'dxr', 'dxs', 'folD', 'fumA', 'fumB', 'fumC', 'ggpps', 'idi', 'ispA', 'ispD', 'ispDF', 'ispE', 'ispF', 'ispG', 'ispH', 'mdh', 'pntA', 'ppk', 'purN', 'sthA', 'sucC', 'txs']"
10.1186.1475-2859-10-97,"['1,2-propanediol', '1,2-propanediol (1,2-propanediol)', '1-propanol', '1-propanol (1-propanol)', 'lactate', 'lactate (lactate)']","['0.11 g/L', '0.80 g/L', '0.25 g/L', '7 g/L', '0.8 g/L', '0.66 g/L', '0.1 g/L', '0.46 g/L', '0.44 g/L']",['low-phosphate media'],['glucose'],['6.8'],['30°C'],['anaerobic'],['Shake flask fermentation'],"['budC', 'dhaB12', 'gldA', 'gldABC', 'mgsA', 'pYY134', 'pYY167', 'pYY93', 'ppdABC', 'ydjG']"
10.1186.1475-2859-11-68,"['2,3-butanediol', '2,3-butanediol (2,3-butanediol)', 'acetate', 'ethanol', 'ethanol (ethanol)', 'glycerol']","['0.825 g/l', '0.47 g/l', '22- 71% higher level over wild-type strain', '0.046 g/g', '1.42 g·l-1', '0.041 g/g', '0.60 g/l', '0.04 g/l', '0.002 g/g', '0.0713 g·g-1', '1.64 g/l', '1.54 g·l-1', '0.093 g/g', '0.096 g/g', '1.42 g/l', '0.113 g/g', '1.54 g/l', '2.29 g/l', '1.67 g/l', '2.29 g·l-1', '6 - 8-fold increase over wild-type strain']",['SC medium'],['glucose'],[''],['30°C'],"['anaerobic', 'microaerobic']",['shake flask'],"['ADH', 'ADH1', 'ADH3', 'ADH4', 'ADH5', 'ALD6', 'BDH1', 'GAL1', 'GAL10', 'GDH1', 'GDH3', 'GPD1', 'GPD2', 'GTP cyclohydrolase', 'ILV2', 'MDH2', 'PDC1', 'PDH', 'PGK1', 'POS5', 'SFA1', 'TEF1', 'UTR1', 'adh1', 'adh1-4', 'alsS', 'budA', 'budC']"
10.1186.1754-6834-6-57,"['isoprenol', 'isoprenol (isoprenol)', 'mevalonate', 'mevalonate (mevalonate)', 'prenol', 'prenol (prenol)']","['0.12 g/g', '0.7 g/L', '1.7 g/L', '1.337 g/L', '1.23 g/L', '0.08 g/L', '0.12 g isopentenols/g glucose consumed', '0.2 g/L', '16.2 mg/L', '36.7 mg/L']",['Media 1'],['glucose'],['2.0'],['30°C'],['Aerobic'],['Shake flask'],"['BsNudF', 'DPP1', 'ERG12', 'ERG19', 'ERG8', 'EcNudF', 'HMG-CoA reductase', 'HMG-CoA synthase', 'IDI1', 'ISP2148', 'LPP1', 'MvaS', 'MvaSA110G', 'cdh', 'hisl', 'lpxH', 'mvaE', 'mvaS', 'nudC', 'phoA', 'phoE', 'ppa', 'yggV']"
10.1186.s12934-014-0104-5,"['acetate', 'acetate (acetate)', 'riboflavin', 'riboflavin (riboflavin)']","['0.2718 g/l', '4.0 g/L', '0.2005 g/l', '0.5852 g/l', '1.0361 g/l', '0.2291 g/l', '1.5 g/L', '0.0886 g/l', '0.5599 g/l', '1.507 g/l', '0.0593 g/g', '0.0505 g/l', '0.1803 g/l', '0.3948 g/l', '2.7028 g/l', '0.1375 g/g']","['LB medium', 'MS medium', 'optimized MS medium']",['glucose'],[''],"['31°C', '37°C', '60 h']",[''],[''],"['BDribA', 'BSribA', 'BSribB', 'BSribC', 'BSribD', 'BSribE', 'BSribH', 'acs', 'eda', 'edd', 'gnd', 'pgi', 'pgl', 'ribA', 'ribB', 'ribC', 'ribD', 'ribE', 'ribF', 'riboflavin operon', 'rrsA', 'tetA', 'zwf']"
10.1186.s12934-014-0135-y,"['isoprenol', 'isoprenol (isoprenol)', 'prenol', 'prenol (prenol)']","['30.0 mg/L', '26.7 mg/L', '2.2 mg/L', '35.2 mg/L', '23.7 mg/L', '16.2 mg/L', '2.6 mg/L']",['M9'],['glucose'],"['', '7.0']","['30 C', '34 C']","['', '20% air saturation']","['fermenter, batch', 'shaking flask, batch']","['dxs', 'eddp1', 'ispG', 'nudF', 'pgi', 'yhfR']"
10.1186.s12934-014-0160-x,"['β-carotene', 'β-carotene (β-carotene)']","['71.4 mg/l', '7.86 mg/l', '256.8 mg/l', '1.08 mg/l', '52.6 mg/l', '15.2 mg/l', '3.2 g/l', '122.4 mg/l', '2.24 mg/l', '5.2 mg/l']","['fermentation medium', 'initial fermentation medium', 'optimized fermentation medium']","['glucose', 'glycerol']","['', '7.0']","['30°C', '34°C', 'initial 37°C, 34°C after induction']","['', '20% saturation']","['Biostat B plus MO5L fermentor', 'shake-flask']","['DXS', 'ERG12', 'ERG19', 'ERG8', 'Erg12', 'Erg19', 'Erg8', 'FNI', 'GPPS2', 'IDI-1', 'IDI-2', 'IDI1', 'IspA', 'MVA upper pathway genes', 'crtB', 'crtE', 'crtI', 'crtY', 'dxs', 'dxs-1', 'fni', 'fni-1', 'idi1', 'mvaE', 'mvaE-mvaS-1', 'mvaS']"
10.1186.1475-2859-12-119,"['ethanol', 'ethanol (ethanol)', 'isobutanol', 'isobutanol (isobutanol)']","['0.011 g/g', '0.006 g/g', '83 mg/L', '138 mg/L', '159 mg/L', '230 mg/L', '23 mg/L', '0.007 g/g', '0.016 g/g', '0.42 ± 0.003 g/g glucose consumed', '117 mg/L', '22 mg/L', '1.62 ± 0.11 g/L', '1.61 ± 0.03 g/L', '71 mg/L', '1.61 g/L', '0.42 ± 0.01 g/g glucose consumed', '221 mg/L', '45 mg/L', '1.62 g/L', '139 mg/L', '0.012 g/g', '94 mg/L']",['SD'],"['Glucose', 'glucose']",[''],"['', '30°C']","['Semi-anaerobic', 'semi-anaerobic']","['', '5-mL culture', '50-mL semi-anaerobic', 'Batch fermentation']","['ADH6', 'Adh6p', 'ILV2', 'ILV2c', 'ILV3c', 'ILV5c', 'Ilv5p', 'LEU2', 'LPD1', 'MAE', 'MAE1', 'MDH', 'MDH2', 'Mdh2p', 'PDC1', 'PMsM', 'PYC', 'PYC2', 'Pyc2p', 'dld1', 'irc15', 'kivd', 'lat1', 'lpd1', 'mae1', 'pda1', 'pdb1', 'pdc5', 'pdc6', 'pyc1', 'pyc2', 'sMAE1', 'thi3']"
