doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1016.j.ymben.2015.07.006,"['2,3-butanediol', '2,3-butanediol (2,3-butanediol)', 'ethanol', 'ethanol (ethanol)', 'glycerol', 'glycerol (glycerol)']","['0.07g/L', '3.4g/L', '6.0g/L', '0.37g/g glucose', '22.0g/L', '18.5g/L', '11.3g/L', '8.6g/L', '7.8g/L', '13.3g/L', '0.13g/L', '<0.4g/L', '12.3g/L', '72.9g/L', '6.6g/L', '10.5g/L', '0.44g/(L·h)', '0.41g/g glucose']","['SC-His', 'YPD10']",['Glucose'],['N/A'],['30°C'],['aerobic'],"['flask fed-batch', 'shake flask']","['ADH', 'ADH1', 'ADH2', 'ADH3', 'ADH4', 'ADH5', 'BDH1', 'CYC1', 'GPD1', 'GPD2', 'PDC', 'PFBA1', 'PTPI1', 'TDH3', 'TFBA1', 'TGPM1', 'TPYK1', 'TTPI1', 'adh1', 'alsD', 'alsS', 'gpd1', 'gpd2', 'nox', 'noxE']"
10.1007.s00253-011-3199-1,"['isoprene', 'isoprene (isoprene)']","['145 mg/L', '314 mg/L', '107 mg/L', '94 mg/L']",['M9'],['Glucose'],['7.0'],['37°C'],"['Controlled', 'Not specified']","['3-L fermentor, fed-batch', 'Sealed shake flask']","['dxr', 'dxs', 'ispS']"
10.1007.s00253-011-3725-1,"['taxadiene', 'taxadiene (taxadiene)']","['5.66 mg/g DCW', '7.23 mg/g DCW', '5.42 mg/g DCW', '1.53×10^-4 mmol/g DCW/h']","['complex medium', 'production medium']",['glycerol'],"['7.60', 'not specified']",['22 °C'],['not specified'],['batch'],"['GGPPS', 'TXS', 'dxr', 'dxs', 'folD', 'fumA', 'fumB', 'fumC', 'ggpps', 'idi', 'ispA', 'ispD', 'ispDF', 'ispE', 'ispF', 'ispG', 'ispH', 'mdh', 'pntA', 'ppk', 'purN', 'sthA', 'sucC', 'txs']"
10.1186.1475-2859-10-97,"['1,2-propanediol', '1,2-propanediol (1,2-propanediol)', '1-propanol', '1-propanol (1-propanol)', 'lactate', 'lactate (lactate)']","['over 7 g/L', '20.35 mM', '0.25 g/L', '0.80 g/L', '0.11 g/L', '39.99 mM', '7 g/L', '0.66 g/L', '65.6 mM']","['M9', 'low-phosphate']",['glucose'],"['6.8', 'N/A']","['30', '37']","['aerobic', 'anaerobic']",['shake flask'],"['budC', 'dhaB12', 'gldA', 'gldABC', 'mgsA', 'pYY134', 'pYY167', 'pYY93', 'ppdABC', 'ydjG']"
10.1186.1475-2859-11-68,"['2,3-butanediol', '2,3-butanediol (2,3-Butanediol)', 'acetaldehyde', 'acetaldehyde (acetaldehyde)', 'acetate', 'acetate (acetate)', 'ethanol', 'ethanol (ethanol)', 'glycerol', 'glycerol (glycerol)']","['0.17 g·l-1', '0.31 g·l-1', '0.825 g·l-1', '0.47 g·l-1', '2.29 g·l-1', '0.22 g·l-1', '0.18 g·l-1', '0.27 g·l-1', '0.21 g·l-1', '0.113 g·g-1', '0.042 g·g-1', '0.26 g·l-1', '1.64 g·l-1', '0.16 g·l-1', '0.05 g·g-1', '0.36 g·l-1', '0.3 g·l-1', '0.041 g·g-1', '1.54 g·l-1', '0.29 g·l-1', '0.046 g·g-1', '0.037 g·g-1', '0.038 g·g-1', '0.04 g·g-1', '0.030 g·g-1', '0.058 g·g-1', '0.096 g·g-1', '0.028 g·g-1', '0.28 g·l-1', '1.42 g·l-1', '0.24 g·l-1', '0.60 g·l-1', '0.002 g·g-1', '0.02 g·g-1', '0.093 g·g-1', '0.048 g·g-1', '1.67 g·l-1', '0.031 g·g-1', '0.34 g·l-1', '0.029 g·g-1', '0.0713 g·g-1', 'less than 0.60 g·l-1', '0.06 g·l-1', '0.04 g·l-1', '0.30 g·g-1']","['SC', 'SC (anaerobic)', 'SC dropout', 'SC medium', 'Unspecified', '—']","['Glucose', 'glucose', '—']","['N/A', '—']","['30°C', 'N/A', '—']","['Anaerobic', 'Microaerobic', 'N/A', 'aerobic', 'anaerobic', 'microaerobic', '—']","['Shake flask', 'Unspecified', 'shake flask', 'shake-flask', '—']","['ADH', 'ADH1', 'ADH3', 'ADH4', 'ADH5', 'ALD6', 'BDH1', 'GAL1', 'GAL10', 'GDH1', 'GDH3', 'GPD1', 'GPD2', 'GTP cyclohydrolase', 'ILV2', 'MDH2', 'PDC1', 'PDH', 'PGK1', 'POS5', 'SFA1', 'TEF1', 'UTR1', 'adh1', 'adh1-4', 'alsS', 'budA', 'budC']"
10.1186.1754-6834-6-57,"['isoprenol', 'isoprenol (isoprenol)', 'mevalonate', 'mevalonate (mevalonate)', 'prenol', 'prenol (prenol)']","['20.8 mg/L', '1.23 g/L', '4.6 mg/L', '12% (i.e. 0.12 g isopentenols/g glucose consumed)', '1.7 g/L', '0.08 g/L', '16.2 mg/L', '0.7 g/L', '36.7 mg/L', '1,337 mg/L']",['shake flask'],['glucose'],['7.0'],['30°C'],['aerobic'],['batch'],"['BsNudF', 'DPP1', 'ERG12', 'ERG19', 'ERG8', 'EcNudF', 'HMG-CoA reductase', 'HMG-CoA synthase', 'IDI1', 'ISP2148', 'LPP1', 'MvaS', 'MvaSA110G', 'cdh', 'hisl', 'lpxH', 'mvaE', 'mvaS', 'nudC', 'phoA', 'phoE', 'ppa', 'yggV']"
10.1186.s12934-014-0104-5,"['riboflavin', 'riboflavin (Riboflavin)']","['1507.0±56.8 mg/L', '88.6±7.0 mg/L', '59.30 mg/g glucose', '50.5±1.2 mg/L', '394.8±19.6 mg/L', '559.88±8.99 mg/L', '180.3±5.6 mg/L', '1036.1±54.6 mg/L', '2702.8±89.9 mg/L', '585.2±13.6 mg/L', '200.5±7.1 mg/L', '229.1±5.7 mg/L']","['LB medium', 'modified M9 medium', 'optimized MS medium', 'unspecified']",['glucose'],['N/A'],"['31°C', '37°C', 'N/A']","['N/A', 'ambient']",['shake flask'],"['BDribA', 'BSribA', 'BSribB', 'BSribC', 'BSribD', 'BSribE', 'BSribH', 'acs', 'eda', 'edd', 'gnd', 'pgi', 'pgl', 'ribA', 'ribB', 'ribC', 'ribD', 'ribE', 'ribF', 'riboflavin operon', 'rrsA', 'tetA', 'zwf']"
10.1186.s12934-014-0135-y,"['isoprenol', 'isoprenol (isoprenol)', 'prenol', 'prenol (prenol)']","['2.6 mg L−1', '35.2 mg L−1', '16.2 mg L−1', '26.7 mg L−1', '2.2 mg L−1']",['M9 with yeast extract and glucose'],['glucose'],['7.0'],"['30 °C', '34 °C']","['20% air saturation', 'controlled by PID']","['250 mL shaking flask, batch', '5 L fermenter, batch']","['dxs', 'eddp1', 'ispG', 'nudF', 'pgi', 'yhfR']"
10.1186.s12934-014-0160-x,"['β-carotene', 'β-carotene (β-carotene)']","['5.2±0.2 mg/L', '15.2±0.4 mg/L', '122.4±6.2 mg/L', '2.76% (g/g)', '52.6±1.5 mg/L', '3.2 g/L', '256.8±10.4 mg/L', '2.24±0.1 mg/L', '71.4±4.3 mg/L']",[''],"['Glucose', 'Glycerol']",['7.0'],"['30°C', '34°C', '37°C']","['Induction at 0.05 mM IPTG', 'Induction at 34°C', 'Maintained at 20% saturation', 'Not specified']","['Fed-batch fermentation', 'Shake-flask']","['DXS', 'ERG12', 'ERG19', 'ERG8', 'Erg12', 'Erg19', 'Erg8', 'FNI', 'GPPS2', 'IDI-1', 'IDI-2', 'IDI1', 'IspA', 'MVA upper pathway genes', 'crtB', 'crtE', 'crtI', 'crtY', 'dxs', 'dxs-1', 'fni', 'fni-1', 'idi1', 'mvaE', 'mvaE-mvaS-1', 'mvaS']"
10.1186.1475-2859-12-119,"['ethanol', 'ethanol (ethanol)', 'isobutanol', 'isobutanol (isobutanol)']","['22 ± 1 mg/L', '0.011 ± 0.001 g/g', '139 ± 4 mg/L', '1.61 ± 0.03 g/L', '0.012 ± 0.0007 g/g', '117 ± 6 mg/L', '0.006 ± 0.0003 g/g', '71 ± 6 mg/L', '1.62 ± 0.11 g/L', '221 ± 27 mg/L', '0.016 ± 0.001 g/g', '0.42 ± 0.003 g/g glucose consumed', '83 ± 2 mg/L', '23 ± 3 mg/L', '45 ± 4 mg/L', '0.007 ± 0.0002 g/g', '0.42 ± 0.01 g/g glucose consumed', '138–159 mg/L', '94 ± 5 mg/L', '0.016 ± 0.0003 g/g', '68–77 mg/L', '46 ± 14 mg/L', '230 ± 13 mg/L']","['Repeated', 'SD']",['glucose'],['N/A'],"['30°C', 'Refer']","['N/A', 'Refer', 'low', 'semi-anaerobic']","['5 mL closed tube', '50 mL semi-anaerobic', '50-mL closed flask', 'N/A', 'Refer to BSW10 details', 'batch']","['ADH6', 'Adh6p', 'ILV2', 'ILV2c', 'ILV3c', 'ILV5c', 'Ilv5p', 'LEU2', 'LPD1', 'MAE', 'MAE1', 'MDH', 'MDH2', 'Mdh2p', 'PDC1', 'PMsM', 'PYC', 'PYC2', 'Pyc2p', 'dld1', 'irc15', 'kivd', 'lat1', 'lpd1', 'mae1', 'pda1', 'pdb1', 'pdc5', 'pdc6', 'pyc1', 'pyc2', 'sMAE1', 'thi3']"
