paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
p0,10.1016.j.ymben.2015.07.006,adh1-5Δgpd1Δgpd2Δ [SDBN],Saccharomyces cerevisiae,"2,3-butanediol (2,3-butanediol)",72.9 g/L,YPD10,glucose,100 g/L,flask fed-batch,-,51 h,30°C,CEN.PK2-1C,"ADH1, ADH2, ADH3, ADH4, ADH5, GPD1, GPD2","ALS1, ALSD, BDH1","ALS1 and ALSD from B. subtilis, NOXE from L. lactis IL1403"
p1,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAispS,Escherichia coli,isoprene (isoprene),94 mg/L,M9,glucose,20 g/L,fed-batch,7.0,34 h,37°C,E. coli BL21 (DE3),-,ispS,-
p1,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxs/ispS,Escherichia coli,isoprene (isoprene),145 mg/L,M9,glucose,20 g/L,fed-batch,7.0,-,37°C,E. coli BL21 (DE3),-,"dxs, ispS",-
p1,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxr/ispS,Escherichia coli,isoprene (isoprene),107 mg/L,M9,glucose,20 g/L,fed-batch,7.0,-,37°C,E. coli BL21 (DE3),-,"dxr, ispS",-
p1,10.1007.s00253-011-3199-1,E. coli BL21 (DE3) harboring pAdxs2/dxr2/ispS (B. subtilis genes),Escherichia coli,isoprene (isoprene),314 mg/L,M9,glucose,20 g/L,fed-batch,7.0,-,37°C,E. coli BL21 (DE3),-,"dxs, dxr, ispS","dxs, dxr (B. subtilis)"
p2,10.1007.s00253-011-3725-1,YW22(pTrcHis2B-TXS-GGPPS),Escherichia coli,taxadiene (taxadiene),1.53×10^-4 mmol/g DCW/h (initial),glycerol-based complex medium,glycerol,15 g/l,not specified,7.60,120 h,22 °C,JM109(DE3),-,"idi, ppk, sthA, purN","txs, ggpps"
p3,10.1186.1475-2859-10-97,E. coli BW25113 (pRJ11),Escherichia coli,"1,2-propanediol (1,2-propanediol)",0.80 g/L,low-phosphate media,glucose,20 g/L,"shake flask, batch",not specified,48 hours,30°C,wild type,-,"mgsA (B. subtilis), ydjG (E. coli), budC (K. pneumoniae)",-
p3,10.1186.1475-2859-10-97,E. coli BW25113 (pRJ11 + pYY93),Escherichia coli,1-propanol (1-propanol),0.25 g/L,low-phosphate media,glucose,20 g/L,"shake flask, batch",not specified,48 hours,30°C,wild type,-,"mgsA (B. subtilis), ydjG (E. coli), budC (K. pneumoniae)",ppdABC (K. oxytoca)
p4,10.1186.1475-2859-11-68,Δadh1 Δadh3 Δadh5,Saccharomyces cerevisiae,"2,3-butanediol (2,3-butanediol)",2.29 g/L,Anaerobic SC medium,glucose,20 g/L,"Shake flask, no feed",Not specified,Not specified,30°C,BY4742,"ADH1, ADH3, ADH5",-,-
p5,10.1186.1754-6834-6-57,YY159,Escherichia coli,isoprenol (isoprenol),"1,337 mg/L",shake flask,glucose,30 g/L,-,-,32 h,30°C,E. coli DNF (DE3),IDI1,BsNudF,MVA pathway genes (from S. cerevisiae and E. faecalis)
p5,10.1186.1754-6834-6-57,YY168,Escherichia coli,isoprenol and prenol (isoprenol and prenol),0.2 g/L (prenol ~80%),shake flask,glucose,30 g/L,-,-,-,30°C,E. coli DNF (DE3),-,EcNudF,MVA pathway genes (from S. cerevisiae and E. faecalis)
p6,10.1186.s12934-014-0104-5,RF01S,Escherichia coli,riboflavin (Riboflavin),229.1 mg/L,LB,glucose,1%,shake flask,not specified,not specified,37°C,E. coli MG1655,-,ribABDEC (E. coli),-
p6,10.1186.s12934-014-0104-5,RF05S,Escherichia coli,riboflavin (Riboflavin),585.2 mg/L,LB,glucose,1%,shake flask,not specified,not specified,37°C,RF01S,"pgi, edd, eda",acs,-
p6,10.1186.s12934-014-0104-5,RF05S-M40,Escherichia coli,riboflavin (Riboflavin),1036.1 mg/L,LB,glucose,10 g/L,shake flask,not specified,48 h,37°C,RF05S,-,-,ribF RBS tuned
p6,10.1186.s12934-014-0104-5,RF05S-M40,Escherichia coli,riboflavin (Riboflavin),2702.8 mg/L,optimized semi-defined medium,glucose,2%,shake flask,not specified,-,31°C,RF05S,-,-,ribF RBS tuned
p7,10.1186.s12934-014-0135-y,E. coli W3110(DE3)/pACYC-yhfR,Escherichia coli,"isoprenol, prenol (isoprenol, prenol)",<1 mg L^-1,M9 + 5 g L^-1 yeast extract + 10 g L^-1 glucose,glucose,10 g L^-1,shake flask,7.0,48 h,30 C,E. coli W3110(DE3),-,nudF,yhfR
p7,10.1186.s12934-014-0135-y,E. coli W3110(DE3)/pACYC-nudF,Escherichia coli,"isoprenol, prenol (isoprenol, prenol)","2.6 mg L^-1 isoprenol, 2.2 mg L^-1 prenol",M9 + 5 g L^-1 yeast extract + 10 g L^-1 glucose,glucose,10 g L^-1,shake flask,7.0,48 h,30 C,E. coli W3110(DE3),-,nudF,nudF
p7,10.1186.s12934-014-0135-y,E. coli W3110 (DE3)/pACYC-ispG-nudF,Escherichia coli,isoprenol (isoprenol),1.6-fold increase from EWIP2,M9 + 5 g L^-1 yeast extract + 10 g L^-1 glucose,glucose,10 g L^-1,shake flask,7.0,48 h,30 C,E. coli W3110(DE3),-,"ispG, nudF",nudF
p7,10.1186.s12934-014-0135-y,E. coli W3110 (DE3)/dxs + ispG + nudF,Escherichia coli,isoprenol (isoprenol),2.1-fold increase from EWIP 3,M9 + 5 g L^-1 yeast extract + 10 g L^-1 glucose,glucose,10 g L^-1,shake flask,7.0,48 h,30 C,E. coli W3110(DE3),-,"dxs, ispG, nudF",nudF
p7,10.1186.s12934-014-0135-y,E. coli W3110Δpgi (DE3)/dxs + ispG + nudF,Escherichia coli,isoprenol (isoprenol),30.0 mg L^-1,M9 + 5 g L^-1 yeast extract + 10 g L^-1 glucose,glucose,10 g L^-1,shake flask,7.0,-,-,E. coli W3110,pgi,"dxs, ispG, nudF",nudF
