paper number,Title,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,Check,feedback,Check type
,,,,,,,,,,,,,,,,,,,,
1.0,An enzyme-coupled assay enables rapid protein engineering for geraniol production in yeast,10.1016.j.bej.2018.08.011,YS261,S. cerevisiae,geraniol (Geraniol),22.9 ± 2.1 mg/L,SD dropout media,glucose,2%,96-Well Deep Well plates,30 °C,48 h,constant shaking at 1000 rpm,S. cerevisiae BY4741,OYE2,ERG20;IDI1;SeACS;tHMG1,GES (Valeriana officinalis);tVoGES (Valeriana officinalis),,,yes
1.0,An enzyme-coupled assay enables rapid protein engineering for geraniol production in yeast,10.1016.j.bej.2018.08.011,YS261,S. cerevisiae,geraniol (Geraniol),22.9 ± 2.1 mg/L,SD dropout media,glucose,2%,96-Well Deep Well plates,30 °C,48 h,constant shaking at 1000 rpm,S. cerevisiae BY4741,OYE2,ERG20;IDI1;SeACS;tHMG1,GES (Valeriana officinalis);tVoGES (Valeriana officinalis),,,yes
1.0,An enzyme-coupled assay enables rapid protein engineering for geraniol production in yeast,10.1016.j.bej.2018.08.011,YS355,S. cerevisiae,geraniol (Geraniol),25.8 ± 1.6 mg/L,SD dropout media,glucose,2%,96-Well Deep Well plates,30 °C,48 h,constant shaking at 1000 rpm,YS261,OYE2,ERG20;IDI1;SeACS;tHMG1,GES (Valeriana officinalis);tVoGES (Valeriana officinalis),,,yes
1.0,An enzyme-coupled assay enables rapid protein engineering for geraniol production in yeast,10.1016.j.bej.2018.08.011,YS355,S. cerevisiae,geraniol (Geraniol),25.8 ± 1.6 mg/L,SD dropout media,glucose,2%,96-Well Deep Well plates,30 °C,48 h,constant shaking at 1000 rpm,YS261,OYE2,ERG20;IDI1;SeACS;tHMG1,GES (Valeriana officinalis);tVoGES (Valeriana officinalis),,,yes
1.0,An enzyme-coupled assay enables rapid protein engineering for geraniol production in yeast,10.1016.j.bej.2018.08.011,YS355,S. cerevisiae,geraniol (Geraniol),54.8 ± 1.9 mg/L,SD dropout media,glucose,2%,96-Well Deep Well plates,30 °C,48 h,constant shaking at 1000 rpm,YS261,OYE2,ERG20;IDI1;SeACS;tHMG1,GES (Valeriana officinalis);tVoGES (Valeriana officinalis),,,yes
1.0,An enzyme-coupled assay enables rapid protein engineering for geraniol production in yeast,10.1016.j.bej.2018.08.011,YS355,S. cerevisiae,geraniol (Geraniol),54.8 ± 1.9 mg/L,SD dropout media,glucose,2%,96-Well Deep Well plates,30 °C,48 h,constant shaking at 1000 rpm,YS261,OYE2,ERG20;IDI1;SeACS;tHMG1,GES (Valeriana officinalis);tVoGES (Valeriana officinalis),,,yes
1.0,An enzyme-coupled assay enables rapid protein engineering for geraniol production in yeast,10.1016.j.bej.2018.08.011,YS355,S. cerevisiae,geraniol (Geraniol),66.8 ± 2.7 mg/L,SD dropout media,glucose,2%,96-Well Deep Well plates,30 °C,48 h,constant shaking at 1000 rpm,YS261,OYE2,ERG20;IDI1;SeACS;tHMG1,GES (Valeriana officinalis);tVoGES (Valeriana officinalis),,,yes
1.0,An enzyme-coupled assay enables rapid protein engineering for geraniol production in yeast,10.1016.j.bej.2018.08.011,YS355,S. cerevisiae,geraniol (Geraniol),66.8 ± 2.7 mg/L,SD dropout media,glucose,2%,96-Well Deep Well plates,30 °C,48 h,constant shaking at 1000 rpm,YS261,OYE2,ERG20;IDI1;SeACS;tHMG1,GES (Valeriana officinalis);tVoGES (Valeriana officinalis),,,yes
,,,,,,,,,,,,,,,,,,,,
2.0,Engineered protein degradation of farnesyl pyrophosphate synthase is an effective regulatory mechanism to increase monoterpene production in Saccharomyces cerevisiae,10.1016.j.ymben.2018.02.005,L6,Saccharomyces cerevisiae,linalool (linalool),0.4 mg L−1,SM-glucose,glucose,20 g L−1,shake flask,6.0,72 h,30 °C,CEN.PK2-1,ERG2;ERG20,AcNES1;ERG2;ERG20;ERG20W,,,,yes
2.0,Engineered protein degradation of farnesyl pyrophosphate synthase is an effective regulatory mechanism to increase monoterpene production in Saccharomyces cerevisiae,10.1016.j.ymben.2018.02.005,L6,Saccharomyces cerevisiae,linalool (linalool),0.4 mg L−1,SM-glucose,glucose,20 g L−1,shake flask,6.0,72 h,30 °C,CEN.PK2-1,ERG2;ERG20,AcNES1;ERG2;ERG20;ERG20W,,,,yes
,,,,,,,,,,,,,,,,,,,,
